id,qid1,qid2,is_duplicate,question1_clean,question2_clean,question1_len,question2_len,common_words,cosine_distance,euclidean_distances,minkowski_distances,manhattan_distances,jaccard_distances,fuzz_ratio,fuzz_partial_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
920,1841,1842,0,realistic get second bachelor degree math international student hold first bachelor degree accounnting,baby lion raise domestic age human year survive would release wild,102,66,0,0.0,1.4142135623730951,0.898199674765781,6.13821742357681,0.9473684210526316,32,30,26,25
921,1843,1844,0,possible believe old testament one god time believe trinity,search practical application bit adc,59,36,0,0.0,1.4142135623730951,0.9749386285061027,4.661691834940811,0.9166666666666666,17,36,25,25
922,1845,1846,1,start meditate,start meditate when,14,19,2,0.7490379184397111,0.7084660634925132,0.6714633296699904,1.0091115558413186,0.8333333333333334,85,100,100,85
923,1847,1848,1,infinite amount dark vacuum gravitational energy create expansion,potential energy vacuum energy virtual particle andor dark energy infinite merge,65,80,4,0.5569457030774257,0.941333412689228,0.6833226452668811,2.6612540564033136,0.9166666666666666,32,38,60,50
924,1849,1850,0,bihar really develop mahagathbandhan sarkar,bihar develop leadership chief minister nitish kumar,43,52,2,0.40275005353588,1.0929317878661229,0.8434341173907871,2.467240024378416,0.875,36,40,46,46
925,1851,1852,0,homeopathic medicine side effect,side effect homeopathic medicine,32,32,4,1.0000000000000002,1.3597399555105182e-16,1.1959514989622823e-16,2.220446049250313e-16,0.75,62,77,100,100
926,1853,1854,0,determine what be good investment brokerage what be not,good music player inr,55,21,1,0.04005702737350049,1.3855994894820793,0.9807935300674483,4.130694451380306,0.9166666666666666,21,38,32,21
927,1855,1856,0,scope supply chain management india,future scope procurement logistic operation supply chain management,35,67,4,0.8086661316376407,0.6186014360836215,0.5130070979005678,1.2809566912540566,0.9,57,80,91,63
928,1857,1858,0,number piston equal number number cylinder,join wikileaks,42,14,0,0.0,1.4142135623730951,1.1690945542894502,2.8847631375394065,0.8,18,29,24,18
929,1859,1860,1,post picture social medium,post picture social medium,26,26,4,1.0,0.0,0.0,0.0,0.0,100,100,100,100
930,1861,1862,1,control action dream,control dream dream wanna dream about,20,37,2,0.5926219091751939,0.9026384556673909,0.7409301623504254,1.8828639286176565,0.875,53,75,79,56
931,1863,1864,0,manage long distance relationship,long distance relationship successful,33,37,3,0.7127168517605103,0.7580015148263093,0.675407906107212,1.1154718225961942,0.875,74,79,88,74
932,1865,1866,0,chance could ask rich person million dollar actually give,be hit million dollar be shoot wrong thinking live expensive area country give well opportunity,57,95,3,0.2669416660203787,1.2108330471040352,0.7598105647989566,5.156967332521223,0.9473684210526316,37,42,50,46
933,1867,1868,0,happen hong kong movie tv drama decline much,british citizen allow move eu live brexit happen,44,48,1,0.07362891794527078,1.3611547171829728,0.8849261946626714,5.042391704763933,0.9285714285714286,13,24,37,39
934,1869,1870,1,trump win election,donald trump chance win forthcoming election,18,44,3,0.7544788071528326,0.7007441656512987,0.5945375969021659,1.3496922203337516,0.8888888888888888,58,72,100,58
935,1871,1872,0,good wallpaper app iphone,what be good iphone wallpaper,25,29,3,0.7553421125557942,0.6995110970445085,0.5840873238185038,1.2772706351886567,0.9,52,61,91,81
936,1873,1874,0,deactivate app app lock,recover photo app lock vault android mobile,23,43,2,0.48031785582573056,1.019492171793653,0.7626016973170576,2.4878386019293783,0.9,36,52,59,30
937,1875,1876,0,format send book print,online test center business,22,27,0,0.0,1.4142135623730951,1.0069330801122547,3.971144626852402,0.8888888888888888,37,38,24,24
938,1877,1878,1,caste system still exist india,caste system exist india even decade independence,30,49,4,0.5841518638433377,0.9119738331297257,0.7059313524846306,2.225990691042213,0.9166666666666666,61,80,89,61
939,1879,1880,1,get boyfriend age,get boyfriend age,17,17,3,1.0,0.0,0.0,0.0,0.0,100,100,100,100
940,1881,1882,0,rank mark neet,rank neet mark,14,14,3,1.0,0.0,0.0,0.0,0.0,64,64,100,100
941,1883,1884,0,dynamic flexi pricing harsh middle class people,seo smo help get business,47,25,0,0.0,1.4142135623730951,0.9727988162260913,4.559986588126265,0.9,28,23,28,28
942,1885,1886,0,overdraft wells fargo account,wells fargo overdraft policy,29,28,3,0.8393838532893594,0.5667735821483579,0.5069344955854942,0.862261337683875,0.8,49,60,86,74
943,1887,1888,1,new marketing technique language school,marketing technique language school,39,35,4,0.9287651702055346,0.3774515327680248,0.3711131875454397,0.5124194045235151,0.9,95,100,100,95
944,1889,1890,0,much olympic gold medalist earn,much olympic gold medalist earn china,31,37,5,0.9271991382304432,0.3815779390099926,0.37499678015245347,0.5347657785337068,0.9166666666666666,91,100,100,91
945,1891,1892,1,easy way earn money online,earn money internet,26,19,2,0.4990713702617053,1.0009281989616385,0.8023936735127309,2.140014688044245,0.8888888888888888,62,78,69,53
946,1893,1894,1,reactance capacitor,reason behind reactance capacitor,19,33,2,0.7912925723471422,0.6460765088638618,0.551868642545939,1.1597649762563298,0.8571428571428572,73,100,100,73
947,1895,1896,0,true cost live sv bay area high new grad make hard time find affordable housing,amazoncom reduce cost live high cost of living area like silicon valley,79,71,4,0.31393689507324585,1.1713779107758129,0.7369752982804728,4.915673734325699,0.9583333333333334,39,44,47,40
948,1897,1898,0,what be good school world,good school world study cinema,25,30,3,0.49057996733669007,1.0093760772510016,0.8061311570993016,2.2098244511963756,0.9090909090909091,62,68,81,76
949,1899,1900,1,saltwater taffy candy import australia,saltwater taffy candy import austria,38,36,4,0.8942597836228767,0.4598700172377478,0.44853279683703995,0.6588091796757026,0.8333333333333334,97,97,97,97
950,1901,1902,0,value,zero factorial equal one,5,24,0,0.0,1.4142135623730951,1.172873837247866,2.6896190576727874,0.8,28,60,21,21
951,1903,1904,1,good part time job bangalore,good part time job bangalore,28,28,5,1.0,0.0,0.0,0.0,0.0,100,100,100,100
952,1905,1906,1,become attractive girl,become pretty attractive,22,24,2,0.8532285453499564,0.541796003399884,0.5243427134292329,0.7270202486547669,0.8333333333333334,74,68,87,83
953,1907,1908,1,good music album ever,regard good music album,21,23,3,0.7438291474698382,0.7157804866440015,0.6403533569281221,1.1363121485952328,0.8888888888888888,73,86,86,73
954,1909,1910,1,realistically speak would happen usa donald trump win presidency election,donald trump support much happen win election,73,45,5,0.5380903473277903,0.9611551931631122,0.6956846816263541,2.8577118085634092,0.9444444444444444,42,62,83,63
955,1911,1912,0,symptom autism kid,symptom autism girl,18,19,2,0.7429313947207857,0.7170336188481183,0.6400417012983133,1.0924321979857678,0.8571428571428572,86,89,88,86
956,1913,1914,1,what be like non smoking mother smoke child,what be like non smoking mother smoke child,43,43,8,1.0,0.0,0.0,0.0,0.0,100,100,100,100
957,1915,1916,0,life without dream,life dream reality,18,18,2,0.599479872571653,0.8950085222257352,0.7963908353037665,1.408730589401554,0.8571428571428572,56,56,72,72
958,1917,1918,1,comfortably live washington dc salary,live comfortably dc salary,37,26,4,0.8750414164777581,0.49991716018204835,0.48547125210596753,0.7315374375773609,0.8888888888888888,67,62,100,83
959,1919,1920,1,find girl boyfriend,tell girl boyfriend,19,19,2,0.7061897210793837,0.7665641250679768,0.6833338422798888,1.1516886984428636,0.8571428571428572,79,79,85,74
960,1921,1922,0,health benefit red lentil,benefit eat avocado,25,19,1,0.3296234205905248,1.1579089596418841,0.9091656352955481,2.5079467867495415,0.8571428571428572,45,54,54,50
961,1923,1924,0,math relate working model class,make working model math,31,23,3,0.7577022799095825,0.6961288962403698,0.5731916844061086,1.4121827040287127,0.9,70,78,88,74
962,1925,1926,1,could gain weight healthy way,gain healthy weight mass,29,24,3,0.6939697769469957,0.7823429210429456,0.6643151326865535,1.3509474451118733,0.9,57,64,88,79
963,1927,1928,0,kind animal this,kind animal you,16,15,2,0.6991616055196278,0.775678276710612,0.6912087425014621,1.146929052520236,0.8571428571428572,77,80,85,77
964,1929,1930,0,anil ambani benefit rafel fighter jet deal,buy online,42,10,0,0.0,1.4142135623730951,1.0296804475362487,4.04451075576292,0.8571428571428572,15,40,19,19
965,1931,1932,0,youtube red offline feature good download video itself,possible still decent credit rating chapter,54,43,0,0.0,1.4142135623730951,0.942265845195713,4.968732636024749,0.9230769230769231,25,30,29,29
966,1933,1934,1,know spouse soulmate,know soulmate,20,13,2,0.8054484749431641,0.6237812518132233,0.597999162466488,0.8590882429344207,0.8333333333333334,79,77,100,79
967,1935,1936,1,get people person,people person,17,13,2,0.8813007644136723,0.48723553972658357,0.4743489209697019,0.6393062776868912,0.8333333333333334,87,100,100,87
968,1937,1938,1,long distance relationship work,long distance relationship work,31,31,4,1.0000000000000002,1.6653345369377348e-16,1.4273480123717877e-16,2.7755575615628914e-16,0.75,100,100,100,100
969,1939,1940,1,speak fluent english,understand english,20,18,1,0.29924048339509196,1.1838576912829584,0.9885697384690966,2.157293189054056,0.8333333333333334,58,73,58,58
970,1941,1942,0,consider position secretary state give insight us drone program reform target process,big challenge secretary state,85,29,2,0.30350852827209135,1.1802469840909644,0.796289324015455,4.234066539780056,0.9166666666666666,33,66,68,37
971,1943,1944,0,exactly in layman term,exactly framework layman term,22,29,3,0.7251831912186715,0.7413727925697416,0.6607766139219118,1.1090664781651927,0.875,78,59,93,78
972,1945,1946,0,buffalo like evolve band together lion cheetah instead run away,okha express provide food,63,25,0,0.0,1.414213562373095,0.9706768359729343,4.8411871654446745,0.9,16,36,14,14
973,1947,1948,1,find hacker good cause,find good hacker,22,16,3,0.8567884831788738,0.5351850461683814,0.518081387318835,0.7512815765742455,0.875,58,69,100,84
974,1949,1950,0,change snapdeal account mobile number,change register mobile number dbs bank account,37,46,4,0.6205958830832425,0.8710959957625306,0.730794644374283,1.5941798947194201,0.9166666666666666,55,62,86,75
975,1951,1952,0,tip make job interview process bank,tip make job interview process att,35,34,5,0.9043954862910338,0.437274544671803,0.4274283460537108,0.6384648540018746,0.9166666666666666,93,94,94,93
976,1953,1954,0,main import export venezuela venezuela industry compare cuba,main import export venezuela venezuela industry compare bolivia,60,63,6,0.9324213009915773,0.3676375905927542,0.36178185060955514,0.5148169235368842,0.9285714285714286,94,95,95,89
977,1955,1956,0,lucifer gabrielle relate other,role cia nsc related organization differ other relate other past,30,64,2,0.3875155590597334,1.1067831232362253,0.8141041676691777,3.0842963737787548,0.8888888888888888,45,63,57,40
978,1957,1958,0,good movie watch,good movie watch,16,16,3,1.0,0.0,0.0,0.0,0.0,100,100,100,100
979,1959,1960,0,install cydia without jailbreak ios,download cydia device without jailbreake it,35,43,2,0.35340264484130723,1.1371871922939447,0.828177111827007,3.004998347194168,0.9,72,74,74,74
980,1961,1962,1,get job microsoft,get job google microsoft,17,24,3,0.8615928931493415,0.5261313654414811,0.5097464523681455,0.7401142408197708,0.875,83,71,100,83
981,1963,1964,0,fahrenheit perceive dystopia,fahrenheit book guy montag namesake,28,35,1,0.430883675246618,1.0668798664829908,0.8435468715409591,2.252585948126579,0.8333333333333334,41,54,53,48
982,1965,1966,0,review love thoughts movie,review love rocks movie,26,23,3,0.7678546647693927,0.681388780698079,0.6464879787641408,1.0415524910698477,0.875,82,74,85,82
983,1967,1968,1,physically possible travel back time,possible travel back forward time,36,33,4,0.6712484153071505,0.810865691335932,0.7224195616962408,1.2054649525679513,0.9090909090909091,72,86,86,78
984,1969,1970,0,awkward people other,get sea breeze summer rarely winter,20,35,0,0.0,1.4142135623730951,1.0277716788665547,3.8714165394998417,0.875,25,35,25,25
985,1971,1972,1,recover delete message facebook,recover delete facebook message,31,31,4,1.0,0.0,0.0,0.0,0.0,74,74,100,100
986,1973,1974,0,compensation system uber,customer service uber phone number,24,34,1,0.2888473733658281,1.1926043993161957,0.9020387288643869,2.946842427995046,0.8888888888888888,41,50,48,48
987,1975,1976,0,feasible flipkart offer emi debit card different factor involve,way purchase phone emi via flipkart debit card how,63,50,4,0.4909345836532311,1.0090246937976979,0.6948738506196638,3.2163228298720403,0.9411764705882353,44,48,63,50
988,1977,1978,0,define task vs milestone vs deliverable agile scrum methodology,agile scrum model,63,17,2,0.39171248227773225,1.1029846034485413,0.794927197512561,3.1908524197276957,0.8333333333333334,40,82,79,38
989,1979,1980,1,life boring do,life boring do,14,14,3,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
990,1981,1982,0,buy meldonium canada,buy meldonium us,20,16,2,0.7333000591515512,0.7303423044688688,0.6511146167880003,1.0871166776915275,0.8571428571428572,78,88,90,72
991,1983,1984,1,would cool way commit suicide,insane way commit suicide,29,25,3,0.786473217057614,0.653493355654648,0.5719743107344221,1.208249364831579,0.8888888888888888,70,76,84,70
992,1985,1986,0,accidentally take blood pressure medicine twice ok,ok blood pressure,50,17,3,0.6931121561829791,0.7834383751349189,0.5937706471411333,1.956932223604326,0.875,48,94,100,51
993,1987,1988,0,paranormal experience,good paranormal experience,21,26,2,0.9497093421093586,0.31714557506180485,0.31344338493317414,0.38385323224441403,0.8333333333333334,89,100,100,89
994,1989,1990,0,band sell spectrum scam,exactly vyapam scam many die it,23,31,1,0.2857952322779654,1.1951608826614388,0.8696397003368205,3.161443035328242,0.8888888888888888,33,39,37,37
995,1991,1992,0,straight student motivation whatsoever go school someone help fight this,fiancã die recently pain heart learn cope this,72,46,1,0.12477810969320594,1.3230433782055628,0.8706430250086816,4.903470574436215,0.9411764705882353,29,39,34,34
996,1993,1994,0,good share purchase sale daily trading,sydney company would well get advice business sales purchases,38,61,0,0.0,1.414213562373095,0.9381390186106024,4.990627830771352,0.9166666666666666,34,48,48,48
997,1995,1996,0,girlfriend private partstouche othercan become pregenant,cosmetic product price tag,56,26,0,0.0,1.414213562373095,1.005119501911082,4.133809434930238,0.875,27,42,37,37
998,1997,1998,1,could use cherenkov atmosphere radiation with gamma ray similar image surface planet grind base telescope,map surface and subsurface planet use cosmic ray high frequency gamma ray grind base telescope,105,94,8,0.5987799820808721,0.895790174001845,0.596416485853241,3.10608549645192,0.95,39,57,71,67
999,1999,2000,0,good song lyric prank,diving blue hole dahab,21,22,0,0.0,1.4142135623730951,1.0428665451676662,3.640479367878796,0.875,33,33,23,23
1000,2001,2002,0,convert raw file jpeg photo macbook,convert raw file jpeg,35,21,4,0.8335890794641582,0.5769071338367066,0.49529252766666654,1.1132272261268883,0.9,75,100,100,75
1001,2003,2004,1,good age teach child swim,good time teach child swim,25,26,4,0.8344134166713885,0.5754764692471998,0.5147390260468148,0.8849741243712728,0.9090909090909091,90,88,91,82
1002,2005,2006,1,less healthy body beer pepsi,less healthy body light beer pepsi,28,34,5,0.9265675444639315,0.3832295801111092,0.3765480767853464,0.5399629285661638,0.9,90,79,100,90
1003,2007,2008,0,find mentor,find willing mentor,11,19,2,0.7379111200717368,0.7240012153695093,0.6846777678819843,1.0371287793772375,0.8333333333333334,73,82,100,73
1004,2009,2010,1,would cause amp cut out,would cause amp cut out fix it,23,30,5,0.8531737555997474,0.5418971201256797,0.4697072856924666,1.0554454701186413,0.9230769230769231,87,100,100,87
1005,2011,2012,1,score good mark mathematic,score good mark mathematic cbse,26,31,4,0.8531206741434288,0.541995066133579,0.5237951093821579,0.8056053121896809,0.9,91,100,100,91
1006,2013,2014,1,facebook messenger use long polling websocket,facebook messenger use long polling websocket,45,45,6,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
1007,2015,2016,1,chance,possibility,6,11,0,0.0,1.4142135623730951,1.2599210498948732,2.0,0.0,0,0,0,0
1008,2017,2018,0,way identify genuine jbl speaker fake jbl speaker also sell market,planning buy portable bluetooth speaker inr confuse jbl flip jbl charge jbl pulse review,66,88,2,0.5647084391064353,0.933050439036995,0.5947169667761883,3.6855750370212097,0.9444444444444444,42,45,34,39
1009,2019,2020,0,take moocs college feel like college horrid do,toshiba satellite good run game,46,31,0,0.0,1.4142135623730951,0.9983687220895174,4.417493794142352,0.9,21,36,26,23
1010,2021,2022,1,application binary search tree,application binary search tree,30,30,4,1.0,0.0,0.0,0.0,0.0,100,100,100,100
1011,2023,2024,0,difference hindustani classical music carnatic music,difference thaat ragas hindustani classical music,52,49,4,0.8656324246986369,0.5183967116048542,0.44008212082101267,1.030540122478437,0.8888888888888888,73,76,89,77
1012,2025,2026,0,solve issue kashmir,nothing do solve kashmir issue,19,30,3,0.7949639235657672,0.6403687631892001,0.5559719964960618,1.1960573249201518,0.8571428571428572,53,68,100,78
1013,2027,2028,1,think mathematics art science,math art science,29,16,2,0.5993327241165258,0.8951729172438968,0.7545566845198899,1.6288651541499162,0.875,71,81,81,71
1014,2029,2030,1,scientology fraud,scientology bullshit,17,20,1,0.5000000000000001,1.0,0.8908987181403394,1.4142135623730951,0.0,70,76,79,70
1015,2031,2032,1,win presidential election,win us presidential election why,25,32,3,0.8045269254209773,0.6252568665421,0.5343871830790148,1.1773306678813813,0.8888888888888888,88,88,100,88
1016,2033,2034,0,polyvore remove pasha sadri ceo replace head product jess lee,multinational company worth million dollar want prepare son future ceo advise he,61,80,1,0.12150948919201465,1.3255116074995235,0.8241535091957254,5.625452737364825,0.9411764705882353,26,34,40,33
1017,2035,2036,0,good book understand special relativity,good book self learn special general theory relativity beginner advanced level book topic,39,89,4,0.5243267441391191,0.9753699358303812,0.6746240836406259,3.265967752825241,0.9230769230769231,47,59,84,50
1018,2037,2038,1,specific heat heat capacity differ,heat capacity specific heat,34,27,3,0.940472742392456,0.34504277302254555,0.3402765345445025,0.43768345022745736,0.875,56,72,100,89
1019,2039,2040,0,plan plan interstellar,voldemort resurrect book say death eaters loyal servant job hogwarts refer severus snape barty crouch jr mad eye,22,112,0,0.0,1.414213562373095,1.0484293673383482,3.988916634139494,0.9,18,45,17,21
1020,2041,2042,1,interesting thing bore,be badly bored,22,14,0,0.0,1.4142135623730951,1.118071819188288,3.055189483962659,0.8333333333333334,39,44,22,22
1021,2043,2044,0,gross salary ida mention,ida pay scale basic pay rupee open end increment mean gross salary basic pay,24,76,3,0.35586229543851416,1.135022206444866,0.8316754722569158,3.407470302838186,0.9333333333333333,30,65,80,46
1022,2045,2046,0,book prefer math preparation ncert elements with month leave board,biological complexity compute particular mathematical value irreducible,66,71,0,0.0,1.414213562373095,0.9702054931222706,4.855424181636494,0.9230769230769231,29,33,35,35
1023,2047,2048,1,movie review review aamir khan dangal movie,honest review dangal movie,43,26,3,0.8130830591916349,0.6114195626709455,0.5082262646724506,1.1384513334570692,0.875,64,58,84,67
1024,2049,2050,1,think movie interstellar,think movie interstellar,24,24,3,1.0,1.3597399555105182e-16,1.1959514989622823e-16,2.220446049250313e-16,0.8571428571428572,100,100,100,100
1025,2051,2052,0,go guy mind touch girlfriend ass,man raise hand wife girlfriend go mind,32,38,3,0.39120624796532233,1.1034434757020206,0.8041968047865065,2.969380504956564,0.9166666666666666,49,53,72,57
1026,2053,2054,0,symptom decide urinary tract infection,cause burn sensation urinary tract infection,38,44,3,0.6920729573783743,0.7847637130010865,0.6248111528082376,1.6128893139911806,0.8571428571428572,66,78,75,73
1027,2055,2056,0,food eat gain weight,could gain weight healthy way,20,29,2,0.4651035662287689,1.0343079171805958,0.7974715066106943,2.353216748673611,0.9,57,70,71,57
1028,2057,2058,0,stripe square up act agent process money transfer also come payment processor license usa,license need operate payment processor like square,89,50,4,0.48098954442202535,1.0188331125144834,0.668996049326889,3.9585614796379227,0.9473684210526316,45,65,78,50
1029,2059,2060,0,tell someone unfollowed facebook,someone unfollow affect chat order facebook,32,43,2,0.29892435366723674,1.184124694728358,0.8890412384771591,3.0136123176735548,0.9090909090909091,72,56,75,67
1030,2061,2062,1,blind people completely blind,blind people fully blind,29,24,2,0.8113023426349691,0.6143250888007603,0.5474023580323675,0.8818952820020314,0.8571428571428572,83,71,80,83
1031,2063,2064,0,indian politician admire most why,indian politician hate most,33,27,3,0.6525404036457721,0.8336181336250166,0.6958327450085298,1.6026161008056308,0.9,83,85,90,83
1032,2065,2066,0,probability event certain occur,true probability event occur always zero,31,40,3,0.6348272399209245,0.8546025509897284,0.6828604796688345,1.8500416336488763,0.9,65,74,85,70
1033,2067,2068,1,someone know social anxiety,know social anxiety,27,19,3,0.9066241904568241,0.43214768203283443,0.42284492684530883,0.5818197104835205,0.875,83,100,100,83
1034,2069,2070,0,man bai jahangir wife die,ti daughter die happen,25,22,1,0.19284094300855714,1.2705581899239744,0.959924467928683,3.1702414487482704,0.875,38,43,47,47
1035,2071,2072,0,need biology ia individual investigation topic desperate topic tip,interesting biology high school research topic,66,46,2,0.4089223285244048,1.0872696735176561,0.7389815167852184,3.630959479248212,0.9230769230769231,45,46,47,45
1036,2073,2074,1,indian planning go us ms stem course january trump win affect future us,trump become president affect indians apply ms us mech,71,54,4,0.4204862513736431,1.0765813936961357,0.7117777317155889,4.025947540696736,0.9473684210526316,30,48,56,54
1037,2075,2076,0,hotel shimla hill station would safe unmarried couple without harassment police hotel staff moral police,hotel dehradun hill station would safe unmarried couple without harassment police hotel staff moral police,104,106,12,0.9307141775230771,0.3722521255195813,0.3316389414504117,0.5264440045320036,0.0,95,94,96,92
1038,2077,2078,0,world society move towards rational love contract,human example smart mammal,49,26,0,0.0,1.414213562373095,0.9917686389685677,4.337772386527662,0.9090909090909091,24,31,35,35
1039,2079,2080,1,evolution real prove,different way evolution prove real,20,34,3,0.8573278691476658,0.5341762459195172,0.46404681110701956,0.9688247757309439,0.8888888888888888,56,75,100,74
1040,2081,2082,0,bad actor hindi movie,bollywood currently bad bollywood movie,21,39,2,0.255750663612554,1.2200404389916313,0.9806186093629702,2.5850479711487164,0.8888888888888888,40,60,60,37
1041,2083,2084,0,good way learn data structure algorithm scratch,start learn strengthen knowledge datum structure algorithm,47,58,3,0.49722118382557884,1.0027749659563916,0.7431210201406538,2.6141223913470655,0.9230769230769231,59,65,69,69
1042,2085,2086,0,exothermic example everyday life,endothermic exothermic reaction example everyday life,32,53,4,0.7608109460175746,0.6916488328370479,0.5865682453047749,1.3852019733126815,0.9090909090909091,75,75,100,75
1043,2087,2088,1,us constitution consider living document so why,make us constitution live document,47,34,3,0.5756537997421549,0.921245027403508,0.6762294502804381,2.51659853422568,0.9166666666666666,69,65,83,72
1044,2089,2090,0,see people unfollow instagram,know block instagram,29,20,1,0.2933211045219981,1.1888472529959448,0.9285799890450324,2.681305615545896,0.875,53,71,62,53
1045,2091,2092,0,responsibility sap erp key user,qualified sap erp key user,31,26,4,0.7727086610230118,0.6742274675166955,0.6007118226121956,0.9724459101504517,0.9,67,76,76,67
1046,2093,2094,0,theoretically possible travel light year one year due length contraction relativistic effect,strong gravity die star make atom dissapear,92,43,0,0.0,1.4142135623730951,0.90857305090875,5.646011954232702,0.9375,18,40,26,25
1047,2095,2096,0,revenue need raise order sell company million dollar,advantage grow wealthy in top,52,29,0,0.0,1.4142135623730951,0.934715177605699,5.028065295217393,0.9166666666666666,32,32,27,27
1048,2097,2098,0,fill pan card application online,apply pan card,32,14,2,0.5299486538352663,0.9695889295621457,0.7638827038652845,2.1559381887196363,0.875,43,71,73,57
1049,2099,2100,1,make believe everything happen good reason,believe everything happen reason,42,32,4,0.915215907032872,0.41178657813757846,0.36436374230371454,0.7311909713938773,0.9090909090909091,86,84,100,86
1050,2101,2102,0,well watch dog,watch dogs video game could put apb cop,14,39,1,0.2535157699525007,1.221870885198186,0.9120212917359724,3.093848143020499,0.8888888888888888,34,64,53,34
1051,2103,2104,1,good thing learn life,good thing learn life,21,21,4,1.0,0.0,0.0,0.0,0.0,100,100,100,100
1052,2105,2106,0,iodimetric titration different iodometric titration,pipette use titration,51,21,1,0.6978727109835607,0.777338136227008,0.6218508980757107,1.6155654941702697,0.8333333333333334,36,62,60,42
1053,2107,2108,1,sociopath many psychopathic trait,sociopath psychopathic trait,33,28,3,0.9378548545950577,0.35254828153018236,0.34741239633208365,0.45452069498537073,0.8333333333333334,92,82,100,92
1054,2109,2110,1,could quora attract initial user,quora start attract user,32,24,3,0.6819068064272814,0.7976129306533573,0.6616377109671756,1.6034706241097547,0.9,64,67,86,64
1055,2111,2112,0,would ned do jon look like rhaegar,jon snow inherit targaryens look stark ned would force admit lie jon bastard,34,76,4,0.5010026103166564,0.998996886565062,0.6812114350270333,3.4940975343995984,0.9230769230769231,31,51,69,56
1056,2113,2114,0,search someone definitely snapchat add get message find why,snapchat someone block still show add section snapchat still allow add they go on,59,81,3,0.3926897801369327,1.1020981987673035,0.7275116941574097,4.228758525049114,0.9523809523809523,49,49,56,50
1057,2115,2116,1,shopping mall future,shopping mall like future,20,25,3,0.9425109364810929,0.33908424769932116,0.3345070423584787,0.43328017950434267,0.875,89,75,100,89
1058,2117,2118,1,napoleon trying achieve,goal,23,4,0,0.0,1.4142135623730951,1.164316429629793,2.7310192183104993,0.8,15,50,15,15
1059,2119,2120,0,retrieve text number block,block phone number text message,26,31,3,0.650791126142465,0.835713914994282,0.7056067472039391,1.4493344117067886,0.9,32,38,79,67
1060,2121,2122,0,get reasonable price man shoe sydney,sydney buy stylish customized man shoe,36,38,3,0.6328280897111213,0.856938632912391,0.6814972890622782,1.9538439664546614,0.9090909090909091,35,38,59,46
1061,2123,2124,0,comment private instagram follower see it,follow notification link comment see answer comment on,41,54,2,0.36501499624853256,1.1269294598611461,0.7809391901747788,3.564920509602186,0.9230769230769231,38,51,60,55
1062,2125,2126,1,white hat seo,white hat seo,13,13,3,1.0000000000000002,0.0,0.0,0.0,0.0,100,100,100,100
1063,2127,2128,0,cpa real estate campaign,quality indian must get admission american university pg,24,56,0,0.0,1.4142135623730951,0.9672429112228251,4.587874744303834,0.9090909090909091,28,33,28,28
1064,2129,2130,0,good blog quora,good blog article quora,15,23,3,0.7519812836735118,0.7042992493627807,0.6664952578188394,1.0741494131381566,0.875,79,73,100,79
1065,2131,2132,0,like jake williams,jake williams think jake williams,18,33,2,0.9183732229905531,0.404046475072972,0.36878488745243804,0.6082671800446225,0.8,67,91,86,63
1066,2133,2134,0,fivethirtyeight open source election prediction model,everyone ve come across like donald trump people still predict win us election,53,78,1,0.09924022533375898,1.3422069696334027,0.8630146551089547,5.416568899081247,0.9473684210526316,32,41,46,46
1067,2135,2136,0,trading opportunity srilanka,find job finance field,28,22,0,0.0,1.4142135623730951,1.0369776906319939,3.6829147685852623,0.875,28,32,24,24
1068,2137,2138,0,long whatsapp keep deliver datum like image etc server,share gif image whatsapp without convert gif video,54,50,2,0.29839527034471824,1.1845714243179106,0.8033738375584907,4.002204769124029,0.9333333333333333,35,40,48,44
1069,2139,2140,0,good structure marketing department internet company,what be good structure indian digital marketing company operate singapore,52,73,4,0.459202530577736,1.0399975667493304,0.7436955576124927,3.1694983021948575,0.9333333333333333,51,62,76,62
1070,2141,2142,0,neuroscientist do kind job neuroscience graduate get abroad subfield neuroscience,possible get neuroscience graduate program gre,81,46,3,0.4623052913561629,1.0370098443542732,0.7293523152160616,3.307806286784723,0.9333333333333333,52,65,70,50
1071,2143,2144,0,indian girl use dildo kind dildo,size big dildo,32,14,1,0.5643349658184075,0.9334506244912933,0.7248415343062352,2.284215954741208,0.8888888888888888,39,57,53,43
1072,2145,2146,0,would ideal bruce springsteen set list assume song include encore,bruce springsteen musician chicken man philly,65,45,2,0.37218266718121423,1.1205510544538215,0.7700296792510641,3.7216630672466926,0.9,44,44,55,45
1073,2147,2148,1,average salary physician india,salary doctor india,30,19,2,0.4226841629603805,1.0745378886196797,0.8946871323305298,2.0331599569034724,0.875,57,58,77,57
1074,2149,2150,0,female heavy upper body but leg hip area quite slim body shapewhat exercise exercise upper body,able finger pushup train upper body forearm,95,43,2,0.42514651292214145,1.072243896767763,0.7410465142735412,3.7638994273379165,0.9285714285714286,32,49,39,36
1075,2151,2152,1,get free book read download,get free book,27,13,3,0.7079927513326877,0.7642084122375418,0.6415384195635727,1.497481049111573,0.8888888888888888,65,100,100,65
1076,2153,2154,0,country easy find job international student,many maximum number round nift counselling,43,42,0,0.0,1.4142135623730951,0.9790473852176127,4.404791361139406,0.9090909090909091,16,19,24,24
